DATE,TIME,MODEL CODE,TYPE,BARCODE,SERIAL No.,PASS/NG,50Hz WATTAGE ,50Hz WATTAGE PASS,50Hz WATTAGE  FLUCTUATE,50Hz AIR VOLUME ,50Hz CLOSED PRESSURE ,50Hz AMPERAGE,60Hz WATTAGE ,60Hz AIR VOLUME ,60Hz CLOSED PRESSURE ,60Hz AMPERAGE,50Hz VOLTAGE,50Hz PRESSURE ,60Hz VOLTAGE,60Hz PRESSURE ,50Hz WATTAGE (LSL),50Hz WATTAGE (USL),50Hz AIR VOLUME (LSL),50Hz AIR VOLUME (USL),50Hz CLOSED PRESSURE (LSL),50Hz CLOSED PRESSURE (USL),50Hz AMPERAGE (LSL),50Hz AMPERAGE (USL),60Hz WATTAGE (LSL),60Hz WATTAGE (USL),60Hz AIR VOLUME (LSL),60Hz AIR VOLUME (USL),60Hz CLOSED PRESSURE （LSL）,60Hz CLOSED PRESSURE （USL）,60Hz AMPERAGE (LSL),60Hz AMPERAGE (USL),50Hz WATTAGE (PASS/NG),50Hz AIR VOLUME (PASS/NG),50Hz CLOSED PRESSURE (PASS/NG),50Hz AMPERAGE (PASS/NG),60Hz WATTAGE (PASS/NG),60Hz AIR VOLUME (PASS/NG),60Hz CLOSED PRESSURE (PASS/NG),60Hz AMPERAGE (PASS/NG),LEAK TEST (PASS/NG),I-TEST (PASS/NG),W-TEST (PASS/NG),50Hz EARTH TEST (PASS/NG),60Hz EARTH TEST (PASS/NG),DUMMY (PASS/NG),50Hz EARTH RESISTANCE,60Hz EARTH RESISTANCE,DUMMY TYPE,50Hz ROOM TEMPERATURE,50Hz INSIDE TEMPERATURE,50Hz BLOWER M TEMPERATURE,50Hz BLOWER T TEMPERATURE,60Hz ROOM TEMPERATURE,60Hz INSIDE TEMPERATURE,60Hz BLOWER M TEMPERATURE,60Hz BLOWER T TEMPERATURE,50Hz CLOSED AIR VOLUME ,60Hz CLOSED AIR VOLUME ,LEAK PRESSURE,MF 0:200L 1:500L,BARCODE READ 0:OFF 1:ON
24/07/2025,14:52:14,200HP4300P,N,,250700004,1,1.91E+02,190.6,190.6,1.84E+02,5.31E+01,1.25E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+02,1.99E+01,0.00E+00,0.00E+00,1.78E+02,2.09E+02,1.79E+02,2.06E+02,5.16E+01,6.04E+01,0.00E+00,9.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1,1,1,1,0,0,0,0,1,1,1,3,3,0,0.00E+00,0.00E+00,0,2.43E+01,2.45E+01,2.45E+01,2.51E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E-01,0.00E+00,3.00E-01,1,0
24/07/2025,15:02:47,200HP4300P,T,,5,0,1.97E+02,0,,2.03E+02,0.00E+00,1.26E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+02,1.58E+01,0.00E+00,0.00E+00,1.78E+02,2.09E+02,1.79E+02,2.06E+02,5.16E+01,6.04E+01,0.00E+00,2.00E+00,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,3.00E+00,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1,0
24/07/2025,15:03:55,200HP4300P,T,,5,0,2.03E+02,0,,2.04E+02,0.00E+00,1.28E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+02,1.62E+01,0.00E+00,0.00E+00,1.78E+02,2.09E+02,1.79E+02,2.06E+02,5.16E+01,6.04E+01,0.00E+00,2.00E+00,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,3.00E+00,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1,0
24/07/2025,15:06:38,200HP4300P,T,,5,1,1.90E+02,190.2,0.400,1.84E+02,5.23E+01,1.24E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+02,2.01E+01,0.00E+00,0.00E+00,1.78E+02,2.09E+02,1.79E+02,2.06E+02,5.16E+01,6.04E+01,0.00E+00,2.00E+00,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,3.00E+00,1,1,1,1,0,0,0,0,1,1,1,3,3,0,0.00E+00,0.00E+00,0,2.44E+01,2.48E+01,2.50E+01,2.83E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E-01,0.00E+00,2.00E-01,1,0
24/07/2025,15:08:20,200HP4300P,T,,6,1,1.81E+02,181.1,,1.80E+02,5.19E+01,1.21E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+02,2.00E+01,0.00E+00,0.00E+00,1.78E+02,2.09E+02,1.79E+02,2.06E+02,5.16E+01,6.04E+01,0.00E+00,2.00E+00,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,3.00E+00,1,1,1,1,0,0,0,0,1,1,1,3,3,0,0.00E+00,0.00E+00,0,2.44E+01,2.48E+01,2.51E+01,2.81E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E-01,0.00E+00,2.00E-01,1,0
24/07/2025,15:09:58,200HP4300P,T,,7,0,1.84E+02,0,,1.81E+02,5.12E+01,1.22E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+02,2.00E+01,0.00E+00,0.00E+00,1.78E+02,2.09E+02,1.79E+02,2.06E+02,5.16E+01,6.04E+01,0.00E+00,2.00E+00,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,3.00E+00,1,1,0,1,0,0,0,0,1,1,1,3,3,0,0.00E+00,0.00E+00,0,2.43E+01,2.49E+01,2.51E+01,2.84E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E-01,0.00E+00,2.00E-01,1,0
24/07/2025,15:13:00,200HP4300P,T,,8,1,1.89E+02,188.7,,1.83E+02,5.22E+01,1.23E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+02,2.01E+01,0.00E+00,0.00E+00,1.78E+02,2.09E+02,1.79E+02,2.06E+02,5.16E+01,6.04E+01,0.00E+00,2.00E+00,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,3.00E+00,1,1,1,1,0,0,0,0,1,1,1,3,3,0,0.00E+00,0.00E+00,0,2.43E+01,2.49E+01,2.52E+01,2.81E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.00E-01,0.00E+00,3.00E-01,1,0
24/07/2025,15:14:29,200HP4300P,T,,9,0,1.82E+02,0,,1.80E+02,5.12E+01,1.21E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+02,2.00E+01,0.00E+00,0.00E+00,1.78E+02,2.09E+02,1.79E+02,2.06E+02,5.16E+01,6.04E+01,0.00E+00,2.00E+00,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,9.90E+01,0.00E+00,3.00E+00,1,1,0,1,0,0,0,0,1,1,1,3,3,0,0.00E+00,0.00E+00,0,2.43E+01,2.49E+01,2.52E+01,2.83E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E-01,0.00E+00,3.00E-01,1,0
24/07/2025,15:16:49,200HP4300P,N,,250700005,1,1.96E+02,195.6,,1.88E+02,5.43E+01,1.26E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+02,2.00E+01,0.00E+00,0.00E+00,1.78E+02,2.09E+02,1.79E+02,2.06E+02,5.16E+01,6.04E+01,0.00E+00,9.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1,1,1,1,0,0,0,0,1,1,1,3,3,0,0.00E+00,0.00E+00,0,2.44E+01,2.49E+01,2.52E+01,2.76E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E-01,0.00E+00,3.00E-01,1,0
24/07/2025,15:17:51,200HP4300P,N,,250700006,1,1.87E+02,186.7,,1.82E+02,5.26E+01,1.25E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E+02,2.00E+01,0.00E+00,0.00E+00,1.78E+02,2.09E+02,1.79E+02,2.06E+02,5.16E+01,6.04E+01,0.00E+00,9.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1,1,1,1,0,0,0,0,1,1,1,3,3,0,0.00E+00,0.00E+00,0,2.44E+01,2.49E+01,2.53E+01,2.76E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E-01,0.00E+00,4.00E-01,1,0
